key,x,y,width,height
0,14,22,3,1
1,18,13,1,10
2,7,0,4,19
3,21,20,1,1
4,1,4,15,14
5,20,15,2,3
6,12,6,1,4
7,13,8,10,10
8,20,2,1,20
9,13,9,3,11
10,13,2,4,14
11,5,8,18,13
12,19,8,3,15
13,1,12,16,2
14,0,8,18,15
15,12,18,10,1
16,3,0,14,16
17,19,11,3,4
18,6,12,7,8
19,12,13,9,10
20,2,0,6,3
21,16,12,3,7
22,2,22,14,1
23,17,7,3,13
24,17,8,4,13
25,1,22,20,1
26,16,4,6,12
27,6,0,17,2
28,11,11,1,9
29,2,8,1,3
30,2,17,1,4
31,18,3,5,19
32,17,9,6,10
33,22,1,1,19
34,0,12,7,5
35,1,9,9,11
36,5,14,10,5
37,4,16,8,7
38,6,9,16,10
39,21,11,2,10
40,10,21,5,1
41,20,5,3,13
42,0,12,14,7
43,6,18,14,3
44,8,9,4,13
45,19,1,1,3
46,17,6,5,16
47,22,18,1,5
48,15,0,2,6
49,13,2,1,16
50,11,7,3,13
51,3,4,15,19
52,2,21,16,1
53,15,3,7,17
54,14,10,6,3
55,12,0,3,22
56,19,13,3,4
57,8,21,14,2
58,11,22,2,1
59,19,1,3,12
60,13,1,8,14
61,18,9,4,8
62,21,8,1,14
63,13,18,3,5
64,17,19,3,2
65,9,17,6,5
66,16,5,7,4
67,19,1,2,15
68,5,5,16,3
69,15,16,1,6
70,7,5,15,1
71,2,12,5,8
72,2,7,4,13
73,17,4,5,8
74,0,14,10,8
75,0,20,23,3
76,10,19,6,4
77,0,2,6,8
78,6,19,12,1
79,15,5,8,6
80,18,22,4,1
81,19,3,4,5
82,8,9,15,12
83,2,20,13,3
84,6,0,4,22
85,3,8,7,7
86,17,13,1,6
87,16,17,2,3
88,11,12,12,8
89,2,14,3,8
90,16,6,2,4
91,10,21,8,2
92,9,22,10,1
93,17,22,2,1
94,14,21,8,2
95,5,14,18,3
96,18,6,5,9
97,19,18,1,3
98,2,10,21,2
99,13,16,7,4
100,21,6,1,8
101,5,22,15,1
